node,function,verse,text,front,sentence
513809,simultaneous,2 Chr 18:24,בַּיֹּ֣ום ה֑וּא,בְּ,הִנְּךָ֥ רֹאֶ֖ה בַּיֹּ֣ום הַה֑וּא אֲשֶׁ֥ר תָּבֹ֛וא חֶ֥דֶר בְּחֶ֖דֶר לְהֵחָבֵֽא׃ 
513857,simultaneous,2 Chr 18:34,בַּיֹּ֣ום ה֔וּא,בְּ,וַתַּ֤עַל הַמִּלְחָמָה֙ בַּיֹּ֣ום הַה֔וּא 
513859,simultaneous,2 Chr 18:34,לְעֵ֖ת,לְ,וַיָּ֕מָת לְעֵ֖ת 
513995,simultaneous,2 Chr 20:20,בַבֹּ֔קֶר,בְּ,וַיַּשְׁכִּ֣ימוּ בַבֹּ֔קֶר 
514014,simultaneous,2 Chr 20:22,בְעֵת֩,בְּ,וּבְעֵת֩ הֵחֵ֨לּוּ בְרִנָּ֜ה וּתְהִלָּ֗ה נָתַ֣ן יְהוָ֣ה׀ מְ֠אָֽרְבִים עַל־בְּנֵ֨י עַמֹּ֜ון מֹואָ֧ב וְהַר־שֵׂעִ֛יר הַבָּאִ֥ים לִֽיהוּדָ֖ה 
514034,atelic_ext,2 Chr 20:25,יָמִ֧ים שְׁלֹושָׁ֛ה,Ø,וַיִּֽהְי֞וּ יָמִ֧ים שְׁלֹושָׁ֛ה בֹּזְזִ֥ים אֶת־הַשָּׁלָ֖ל 
514036,simultaneous,2 Chr 20:26,בַיֹּ֣ום רְבִעִ֗י,בְּ,וּבַיֹּ֣ום הָרְבִעִ֗י נִקְהֲלוּ֙ לְעֵ֣מֶק בְּרָכָ֔ה 
514052,atelic_ext,2 Chr 20:31,עֶשְׂרִ֨ים וְחָמֵ֤שׁ שָׁנָה֙,Ø,וְעֶשְׂרִ֨ים וְחָמֵ֤שׁ שָׁנָה֙ מָלַ֣ךְ בִּֽירוּשָׁלִַ֔ם 
514091,atelic_ext,2 Chr 21:5,שְׁמֹונֶ֣ה שָׁנִ֔ים,Ø,וּשְׁמֹונֶ֣ה שָׁנִ֔ים מָלַ֖ךְ בִּירוּשָׁלִָֽם׃ 
514103,simultaneous,2 Chr 21:8,בְּיָמָיו֙,בְּ,בְּיָמָיו֙ פָּשַׁ֣ע אֱדֹ֔ום מִתַּ֖חַת יַד־יְהוּדָ֑ה 
514113,simultaneous,2 Chr 21:10,בָּעֵ֥ת הִ֖יא,בְּ,אָ֣ז תִּפְשַׁ֥ע לִבְנָ֛ה בָּעֵ֥ת הַהִ֖יא מִתַּ֣חַת יָדֹ֑ו 
514147,atelic_ext,2 Chr 21:20,שְׁמֹונֶ֣ה שָׁנִ֔ים,Ø,וּשְׁמֹונֶ֣ה שָׁנִ֔ים מָלַ֖ךְ בִּירוּשָׁלִָ֑ם 
514157,atelic_ext,2 Chr 22:2,שָׁנָ֣ה אַחַ֔ת,Ø,וְשָׁנָ֣ה אַחַ֔ת מָלַ֖ךְ בִּֽירוּשָׁלִָ֑ם 
514210,atelic_ext,2 Chr 22:12,שֵׁ֣שׁ שָׁנִ֖ים,Ø,מִתְחַבֵּ֖א שֵׁ֣שׁ שָׁנִ֖ים 
