node,ref,head_voc,text,category,sentence,link
677204,Exod 23:16,שָׂדֶה,בַּשָּׂדֶ֑ה,frame,אֶת־חַ֣ג הַמַּצֹּות֮ תִּשְׁמֹר֒ וְחַ֤ג הַקָּצִיר֙ בִּכּוּרֵ֣י מַעֲשֶׂ֔יךָ אֲשֶׁ֥ר תִּזְרַ֖ע בַּשָּׂדֶ֑ה וְחַ֤ג הָֽאָסִף֙ בְּצֵ֣את הַשָּׁנָ֔ה בְּאָסְפְּךָ֥ אֶֽת־מַעֲשֶׂ֖יךָ מִן־הַשָּׂדֶֽה׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=23&verse=16&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
677211,Exod 23:16,שָׂדֶה,מִן־הַשָּׂדֶֽה׃,frame,אֶת־חַ֣ג הַמַּצֹּות֮ תִּשְׁמֹר֒ וְחַ֤ג הַקָּצִיר֙ בִּכּוּרֵ֣י מַעֲשֶׂ֔יךָ אֲשֶׁ֥ר תִּזְרַ֖ע בַּשָּׂדֶ֑ה וְחַ֤ג הָֽאָסִף֙ בְּצֵ֣את הַשָּׁנָ֔ה בְּאָסְפְּךָ֥ אֶֽת־מַעֲשֶׂ֖יךָ מִן־הַשָּׂדֶֽה׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=23&verse=16&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
677438,Exod 24:4,הַר,תַּ֣חַת הָהָ֑ר,anap,וַיִּ֥בֶן מִזְבֵּ֖חַ תַּ֣חַת הָהָ֑ר וּשְׁתֵּ֤ים עֶשְׂרֵה֙ מַצֵּבָ֔ה לִשְׁנֵ֥ים עָשָׂ֖ר שִׁבְטֵ֥י יִשְׂרָאֵֽל׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=24&verse=4&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
677584,Exod 24:17,הַר,בְּרֹ֣אשׁ הָהָ֑ר,anap,וּמַרְאֵה֙ כְּבֹ֣וד יְהוָ֔ה כְּאֵ֥שׁ אֹכֶ֖לֶת בְּרֹ֣אשׁ הָהָ֑ר לְעֵינֵ֖י בְּנֵ֥י יִשְׂרָאֵֽל׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=24&verse=17&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
677925,Exod 25:40,הַר,בָּהָֽר׃ ס,anap,וַעֲשֵׂ֑ה בְּתַ֨בְנִיתָ֔ם אֲשֶׁר־אַתָּ֥ה מָרְאֶ֖ה בָּהָֽר׃ ס,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=25&verse=40&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
678011,Exod 26:9,אֹהֶל,אֶל־מ֖וּל פְּנֵ֥י הָאֹֽהֶל׃,anap,וְכָפַלְתָּ֙ אֶת־הַיְרִיעָ֣ה הַשִּׁשִּׁ֔ית אֶל־מ֖וּל פְּנֵ֥י הָאֹֽהֶל׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=26&verse=9&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
678179,Exod 26:30,הַר,בָּהָֽר׃ ס,anap,וַהֲקֵמֹתָ֖ אֶת־הַמִּשְׁכָּ֑ן כְּמִ֨שְׁפָּטֹ֔ו אֲשֶׁ֥ר הָרְאֵ֖יתָ בָּהָֽר׃ ס,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=26&verse=30&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
678326,Exod 27:8,הַר,בָּהָ֖ר,anap,כַּאֲשֶׁ֨ר הֶרְאָ֥ה אֹתְךָ֛ בָּהָ֖ר כֵּ֥ן יַעֲשֽׂוּ׃ ס,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=27&verse=8&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
679127,Exod 29:30,קֹדֶשׁ,בַּקֹּֽדֶשׁ׃,frame,שִׁבְעַ֣ת יָמִ֗ים יִלְבָּשָׁ֧ם הַכֹּהֵ֛ן תַּחְתָּ֖יו מִבָּנָ֑יו אֲשֶׁ֥ר יָבֹ֛א אֶל־אֹ֥הֶל מֹועֵ֖ד לְשָׁרֵ֥ת בַּקֹּֽדֶשׁ׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=29&verse=30&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
679217,Exod 29:38,מִזְבֵּחַ,עַל־הַמִּזְבֵּ֑חַ,frame,וְזֶ֕ה אֲשֶׁ֥ר תַּעֲשֶׂ֖ה עַל־הַמִּזְבֵּ֑חַ כְּבָשִׂ֧ים בְּנֵֽי־שָׁנָ֛ה שְׁנַ֥יִם לַיֹּ֖ום תָּמִֽיד׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=29&verse=38&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
679338,Exod 30:6,פָּרֹכֶת,לִפְנֵ֣י הַפָּרֹ֔כֶת,frame,וְנָתַתָּ֤ה אֹתֹו֙ לִפְנֵ֣י הַפָּרֹ֔כֶת אֲשֶׁ֖ר עַל־אֲרֹ֣ן הָעֵדֻ֑ת לִפְנֵ֣י הַכַּפֹּ֗רֶת אֲשֶׁר֙ עַל־הָ֣עֵדֻ֔ת אֲשֶׁ֛ר אִוָּעֵ֥ד לְךָ֖ שָֽׁמָּה׃,https://shebanq.ancient-data.org/hebrew/text?book=Exodus&chapter=30&verse=6&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
